#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151AA5CFE
#Date Time: 2020-09-08 00:42:59.235
#Sample rate: 4e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 4 V/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 4 V/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Triangle
#Frequency: 15.392 kHz
#Period: 64.968815 us
#Amplitude: 10 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0

Time (s),Channel 1 (V),Channel 2 (V)
-9.16E-05,-3.762594604,-4.814459797
-9.16E-05,-3.762594604,-4.814459797
-9.15E-05,-3.762594604,-4.814459797
-9.15E-05,-3.802881008,-4.814459797
-9.15E-05,-3.802881008,-4.814459797
-9.15E-05,-3.802881008,-4.814459797
-9.14E-05,-3.843167412,-4.814459797
-9.14E-05,-3.883453816,-4.814459797
-9.14E-05,-3.883453816,-4.814459797
-9.14E-05,-3.883453816,-4.814459797
-9.13E-05,-3.883453816,-4.814459797
-9.13E-05,-3.923740219,-4.814459797
-9.13E-05,-3.923740219,-4.814459797
-9.13E-05,-3.964026623,-4.814459797
-9.12E-05,-3.964026623,-4.814459797
-9.12E-05,-3.964026623,-4.814459797
-9.12E-05,-4.004313027,-4.814459797
-9.12E-05,-4.004313027,-4.854438499
-9.11E-05,-4.044599431,-4.854438499
-9.11E-05,-4.004313027,-4.854438499
-9.11E-05,-4.044599431,-4.854438499
-9.11E-05,-4.084885835,-4.854438499
-9.10E-05,-4.084885835,-4.854438499
-9.10E-05,-4.084885835,-4.854438499
-9.10E-05,-4.084885835,-4.854438499
-9.10E-05,-4.125172239,-4.854438499
-9.09E-05,-4.125172239,-4.854438499
-9.09E-05,-4.165458643,-4.854438499
-9.09E-05,-4.165458643,-4.8944172
-9.09E-05,-4.205745047,-4.854438499
-9.08E-05,-4.205745047,-4.854438499
-9.08E-05,-4.246031451,-4.854438499
-9.08E-05,-4.246031451,-4.8944172
-9.08E-05,-4.286317854,-4.8944172
-9.07E-05,-4.286317854,-4.854438499
-9.07E-05,-4.286317854,-4.8944172
-9.07E-05,-4.326604258,-4.8944172
